Element,Al,46Ti,48Ti,Fe,Y,Zr,La,Ce,Ho,Hf,Pb,Th,U
Isotopes,27Al,46Ti,48Ti,56Fe,89Y,90Zr,139La,140Ce,165Ho,177Hf+178Hf+179Hf+180Hf,206Pb+207Pb+208Pb,232Th,238U
Sensitivity (TofCts/g),8.93E+15,3.99E+15,5.39E+16,1.17E+17,3.01E+17,1.70E+17,5.47E+17,5.35E+17,2.76E+17,2.67E+17,3.00E+17,2.55E+17,2.83E+17
MedianSignal (TofCts),1.19E+01,1.58E+01,9.39E+00,4.53E+01,1.30E+01,4.74E+01,1.35E+01,1.47E+01,8.90E+00,1.30E+01,1.07E+01,1.27E+01,9.68E+00
Avg Lc (TofCts),7.25,12.07,7.62,15.83,5.87,4.75,5.75,6.04,5.17,4.42,6.2,3.7,4.03
Avg Bkgd (TofCts),0.125,0.996,0.058,4.812,0.163,0.126,0.148,0.196,0.024,0.03,0.157,0.028,0.023
DynamicAlpha,1.00E-06,1.00E-07,1.00E-07,1.00E-05,3.20E-06,3.20E-05,3.20E-06,3.20E-06,3.20E-07,3.20E-06,3.20E-07,1.00E-05,3.20E-06
Filename,01h07m35s_Zr_Hark_2kx.h5,,,,,,,,,,,,
spTime (s),120.226,,,,,,,,,,,,
qPlasma (mL/s),0.000063,,,,,,,,,,,,
,,,,,,,,,,,,,
Particle Signals (TofCts),,,,,,,,,,,,,
Comp,Al,46Ti,48Ti,Fe,Y,Zr,La,Ce,Ho,Hf,Pb,Th,U
Fe+Y+Zr+Ce+Hf+Th+U,0,0,0,41.956,14.338,4624.442,0,13.692,0,44.284,0,23.259,20.094
Zr,0,0,0,0,0,5.298,0,0,0,0,0,0,0
Th,0,0,0,0,0,0,0,0,0,0,0,4.957,0
Zr,0,0,0,0,0,5.345,0,0,0,0,0,0,0
Fe+Zr+Th,0,0,0,89.161,0,31.128,0,0,0,0,0,12.797,0
Zr+Th,0,0,0,0,0,10.712,0,0,0,0,0,6.81,0
46Ti,0,14.008,0,0,0,0,0,0,0,0,0,0,0
Fe+Zr,0,0,0,29.958,0,28.981,0,0,0,0,0,0,0
46Ti,0,17.117,0,0,0,0,0,0,0,0,0,0,0
Zr,0,0,0,0,0,80.887,0,0,0,0,0,0,0
Zr,0,0,0,0,0,50.451,0,0,0,0,0,0,0
Zr+Th,0,0,0,0,0,5.966,0,0,0,0,0,15.705,0
Zr,0,0,0,0,0,6.353,0,0,0,0,0,0,0
Zr,0,0,0,0,0,5.305,0,0,0,0,0,0,0
Fe+Th,0,0,0,107.063,0,0,0,0,0,0,0,8.25,0
Th,0,0,0,0,0,0,0,0,0,0,0,3.832,0
Fe+Zr+Th,0,0,0,18.476,0,58.914,0,0,0,0,0,15.225,0
Fe+Zr,0,0,0,39.699,0,5.071,0,0,0,0,0,0,0
Zr+Th,0,0,0,0,0,12.699,0,0,0,0,0,10.902,0
Fe+Zr+Hf,0,0,0,19.199,0,175.854,0,0,0,6.881,0,0,0
Th,0,0,0,0,0,0,0,0,0,0,0,4.5,0
Fe+Y+Zr+La+Ce+Hf+Th+U,0,0,0,228.516,7.461,1389.47,23.786,33.851,0,31.203,0,49.4,6.115
Th,0,0,0,0,0,0,0,0,0,0,0,14.867,0
Fe+Zr+La+Ce+Hf+Th,0,0,0,163.703,0,557.401,10.883,22.391,0,14.003,0,86.913,0
Fe+Zr+Th,0,0,0,62.453,0,48.882,0,0,0,0,0,8.553,0
Zr+Th,0,0,0,0,0,73.51,0,0,0,0,0,9.396,0
Fe+Zr+Hf+Th,0,0,0,128.19,0,230.99,0,0,0,5.35,0,16.866,0
Fe+Zr+Th,0,0,0,273.718,0,58.628,0,0,0,0,0,49.19,0
Fe+Zr,0,0,0,16.442,0,6.373,0,0,0,0,0,0,0
Fe+Zr+Hf+Th,0,0,0,46.196,0,367.244,0,0,0,11.025,0,15.942,0
Fe+Y+Zr+La+Ce+Hf+Th+U,0,0,0,182.051,28.981,2967.893,108.54,144.644,0,79.819,0,184.78,8.999
Fe+Zr+La+Ce+Hf+Th,0,0,0,149.282,0,872.025,9.613,10.697,0,5.661,0,10.432,0
Fe+Zr+Th,0,0,0,169.613,0,7.902,0,0,0,0,0,15.726,0
Fe+Zr+Ce+Hf+Pb+Th+U,0,0,0,128.261,0,2301.092,0,11.584,0,11.017,10.941,9.473,183.03
Fe+Zr+La+Ce+Th,0,0,0,27.353,0,86.089,6.409,7.886,0,0,0,13.339,0
Zr+Th,0,0,0,0,0,18.378,0,0,0,0,0,17.344,0
Zr+La+Ce+Th,0,0,0,0,0,7.869,28.55,47.927,0,0,0,11.152,0
Fe+Y+Zr+Ce+Hf+Th+U,0,0,0,76.892,17.562,2116.759,0,12.97,0,59.373,0,24.597,10.248
Zr+Th,0,0,0,0,0,9.737,0,0,0,0,0,9.739,0
Zr+Th,0,0,0,0,0,8.838,0,0,0,0,0,3.939,0
Fe+Zr+Ce+Hf+Th,0,0,0,100.106,0,178.41,0,12.292,0,8.971,0,45.502,0
Fe+Zr,0,0,0,33.561,0,114.532,0,0,0,0,0,0,0
Fe+Zr+Th,0,0,0,39.333,0,22.733,0,0,0,0,0,15.387,0
Zr,0,0,0,0,0,18.1,0,0,0,0,0,0,0
Al+Fe+Zr+Th,8.128,0,0,141.476,0,144.837,0,0,0,0,0,17.037,0
Zr+Th,0,0,0,0,0,52.71,0,0,0,0,0,3.996,0
Fe+Zr+Th,0,0,0,34.863,0,90.988,0,0,0,0,0,14.46,0
Zr+Th,0,0,0,0,0,67.783,0,0,0,0,0,6.129,0
Zr+Th,0,0,0,0,0,65.665,0,0,0,0,0,19.046,0
Zr+Th,0,0,0,0,0,255.724,0,0,0,0,0,4.62,0
Fe+Zr+Hf+Th,0,0,0,27.333,0,119.156,0,0,0,4.742,0,32.541,0
Zr+Hf+Th,0,0,0,0,0,99.18,0,0,0,4.834,0,12.858,0
Fe+Zr+Th,0,0,0,40.683,0,17.661,0,0,0,0,0,6.429,0
Y+Zr+Hf+Th,0,0,0,0,33.272,2787.768,0,0,0,54.48,0,27.825,0
Zr+Th,0,0,0,0,0,5.766,0,0,0,0,0,6.643,0
Fe+Zr+Th,0,0,0,20.478,0,14.178,0,0,0,0,0,6.144,0
Zr+Hf,0,0,0,0,0,1239.618,0,0,0,26.105,0,0,0
Th,0,0,0,0,0,0,0,0,0,0,0,3.632,0
Fe+Zr+Th,0,0,0,156.696,0,24.915,0,0,0,0,0,8.072,0
Fe+Zr+La+Ce+Th,0,0,0,165.765,0,33.805,23.02,10.16,0,0,0,56.077,0
Zr,0,0,0,0,0,19.554,0,0,0,0,0,0,0
Fe+Zr+Th,0,0,0,42.398,0,16.594,0,0,0,0,0,11.473,0
Zr,0,0,0,0,0,12.962,0,0,0,0,0,0,0
Zr,0,0,0,0,0,29.934,0,0,0,0,0,0,0
Zr,0,0,0,0,0,6.292,0,0,0,0,0,0,0
Zr+Th,0,0,0,0,0,12.293,0,0,0,0,0,7.077,0
Zr,0,0,0,0,0,7.347,0,0,0,0,0,0,0
Fe+Zr+Th,0,0,0,16.971,0,11.341,0,0,0,0,0,11.81,0
Fe+Zr+Th,0,0,0,25.375,0,46.005,0,0,0,0,0,19.641,0
Fe,0,0,0,16.151,0,0,0,0,0,0,0,0,0
Fe+Y+Zr+Ce+Hf+Th+U,0,0,0,105.691,20.17,558.76,0,12.787,0,5.528,0,138.124,6.341
Zr+Th,0,0,0,0,0,11.24,0,0,0,0,0,6.623,0
Fe+Zr+Th,0,0,0,58.328,0,16.344,0,0,0,0,0,11.564,0
Th,0,0,0,0,0,0,0,0,0,0,0,8.846,0
Fe+Zr+Ce+Th,0,0,0,224.348,0,20.726,0,7.121,0,0,0,34.385,0
Fe+Zr+Th,0,0,0,68.443,0,41.266,0,0,0,0,0,20.825,0
Th,0,0,0,0,0,0,0,0,0,0,0,4.74,0
Fe+Zr+Th,0,0,0,142.534,0,5.044,0,0,0,0,0,5.154,0
Fe+Y+Zr+Ce+Th,0,0,0,286.024,35.178,86.253,0,6.642,0,0,0,174.697,0
Zr+La+Ce+Th,0,0,0,0,0,24.164,11.119,9.093,0,0,0,79.086,0
Zr,0,0,0,0,0,4.971,0,0,0,0,0,0,0
Zr,0,0,0,0,0,5.652,0,0,0,0,0,0,0
Zr+Th,0,0,0,0,0,8.209,0,0,0,0,0,5.668,0
Fe+Zr+Hf+Th+U,0,0,0,29.553,0,1351.586,0,0,0,59.978,0,7.644,4.309
Fe+Zr+Th,0,0,0,24.307,0,15.97,0,0,0,0,0,13.803,0
Th,0,0,0,0,0,0,0,0,0,0,0,9.614,0
Th,0,0,0,0,0,0,0,0,0,0,0,6.857,0
Fe+Zr+La+Ce+Th,0,0,0,152.847,0,264.363,7.738,21.731,0,0,0,22.987,0
Fe+Zr+La+Ce+Hf+Th,0,0,0,332.271,0,888.591,10.74,28.14,0,18.811,0,34.327,0
Zr+Th,0,0,0,0,0,5.151,0,0,0,0,0,11.378,0
Fe+Zr+Hf+Th,0,0,0,30.726,0,253.181,0,0,0,7.811,0,11.157,0
Fe+Zr+Th,0,0,0,49.273,0,538.054,0,0,0,0,0,23.743,0
Fe+Y+Zr+Ce+Hf+Th,0,0,0,89.985,7.092,306.787,0,7.243,0,5.921,0,59.853,0
Zr+Ce+Th,0,0,0,0,0,193.493,0,6.342,0,0,0,11.995,0
Fe+Zr+Th,0,0,0,16.329,0,294.155,0,0,0,0,0,4.381,0
Fe+Zr+Hf+Th+U,0,0,0,102.703,0,866.85,0,0,0,21.368,0,26.444,6.127
Fe+Zr+Hf+Th,0,0,0,16,0,130.18,0,0,0,5.321,0,13.533,0
Fe+Zr+Th,0,0,0,44.389,0,26.674,0,0,0,0,0,13.157,0
Zr,0,0,0,0,0,16.494,0,0,0,0,0,0,0
Fe+Zr,0,0,0,21.432,0,91.111,0,0,0,0,0,0,0
Fe+Zr+Ce+Th,0,0,0,29.931,0,7.267,0,6.157,0,0,0,14.666,0
Fe+Zr+Th,0,0,0,33.275,0,17.658,0,0,0,0,0,6.188,0
Fe+Zr+Th,0,0,0,39.447,0,11.317,0,0,0,0,0,7.404,0
Fe+Zr+Ce+Hf+Th,0,0,0,48.138,0,954.194,0,11.242,0,8.171,0,6.748,0
Zr+Hf,0,0,0,0,0,287.322,0,0,0,12.856,0,0,0
Zr+Hf+Th,0,0,0,0,0,402.752,0,0,0,21.306,0,8.759,0
46Ti,0,12.77,0,0,0,0,0,0,0,0,0,0,0
Zr+Th,0,0,0,0,0,19.114,0,0,0,0,0,3.772,0
Fe+Th,0,0,0,41.094,0,0,0,0,0,0,0,7.744,0
Zr+Th,0,0,0,0,0,17.288,0,0,0,0,0,4.099,0
Fe+Zr,0,0,0,352.767,0,17.461,0,0,0,0,0,0,0
Zr+Th,0,0,0,0,0,17.674,0,0,0,0,0,12.886,0
Fe+Y+Zr+Ce+Hf+Th+U,0,0,0,78.698,20.064,3736.827,0,11.369,0,111.971,0,43.702,25.298
Fe+Y+Zr+Hf+Th+U,0,0,0,26.788,8.653,3685.948,0,0,0,27.207,0,18.708,10.366
Fe+Zr+Th,0,0,0,90.878,0,8.215,0,0,0,0,0,4.654,0
Fe+Y+Zr+Ce+Hf+Th,0,0,0,217.664,14.372,426.778,0,11.215,0,9.54,0,64.711,0
Fe+Y+Zr+Th,0,0,0,22.094,6.667,15.671,0,0,0,0,0,16.263,0
Th,0,0,0,0,0,0,0,0,0,0,0,7.172,0
Fe+Zr+Th,0,0,0,17.864,0,15.459,0,0,0,0,0,4.333,0
Fe+Zr+Hf+Th,0,0,0,23.802,0,75.791,0,0,0,4.5,0,10.288,0
Fe+Y+Zr+Hf+Th,0,0,0,23.996,13.982,1376.663,0,0,0,33.669,0,18.368,0
Y+Zr+Ce+Hf+Th,0,0,0,0,13.11,2326.359,0,8.394,0,20.55,0,29.272,0
Al+Fe+Y+Zr+La+Ce+Hf+Th+U,9.104,0,0,612.19,48.233,1656.857,30.777,65.668,0,39.277,0,212.565,7.735
Fe+Y+Zr+Hf+U,0,0,0,23.734,6.648,2917.172,0,0,0,17.949,0,0,15.452
Fe+Zr+Th,0,0,0,28.664,0,27.466,0,0,0,0,0,14.211,0
Fe+Zr+La+Ce+Th,0,0,0,54.912,0,192.383,17.575,32.017,0,0,0,16.27,0
Zr+Th,0,0,0,0,0,7.152,0,0,0,0,0,5.449,0
Fe+Th,0,0,0,32.863,0,0,0,0,0,0,0,5.237,0
Zr+La+Ce+Th,0,0,0,0,0,90.755,6.068,6.576,0,0,0,18.27,0
Fe+Zr,0,0,0,36.738,0,72.455,0,0,0,0,0,0,0
Fe+Y+Zr+La+Ce+Hf+Th,0,0,0,113.75,14.63,1141.306,16.159,37.319,0,23.199,0,73.631,0
Zr+Th,0,0,0,0,0,92.431,0,0,0,0,0,4.367,0
Zr+Th,0,0,0,0,0,16.508,0,0,0,0,0,5.122,0
Th,0,0,0,0,0,0,0,0,0,0,0,4.327,0
Ce+Th,0,0,0,0,0,0,0,13.973,0,0,0,5.415,0
Fe+Zr+Th,0,0,0,68.855,0,160.665,0,0,0,0,0,23.553,0
Fe+Zr+Th,0,0,0,21.518,0,115.828,0,0,0,0,0,15.045,0
Zr+Th,0,0,0,0,0,9.682,0,0,0,0,0,5.764,0
Y+Zr+Hf+Th,0,0,0,0,7.386,1042.346,0,0,0,29.418,0,15.43,0
Fe+Y+Zr+La+Ce+Th,0,0,0,69.074,6.504,65.178,226.26,317.587,0,0,0,22.283,0
Fe+Zr+Th,0,0,0,40.275,0,96.654,0,0,0,0,0,12.757,0
Zr+Th,0,0,0,0,0,7.859,0,0,0,0,0,14.127,0
Fe+Zr+Th,0,0,0,16.988,0,25.31,0,0,0,0,0,8.546,0
Fe+Y+Zr+La+Ce+Hf+Th+U,0,0,0,31.88,12.793,4673.11,7.924,11.18,0,44.412,0,22.827,4.242
Al+Fe+Zr+La+Ce+Th,33.644,0,0,77.134,0,44.821,11.235,27.955,0,0,0,17.826,0
Zr+Th,0,0,0,0,0,15.316,0,0,0,0,0,8.92,0
Fe+Y+Zr+Th,0,0,0,72.088,7.039,32.804,0,0,0,0,0,13.875,0
Fe+Zr,0,0,0,37.157,0,7.67,0,0,0,0,0,0,0
Zr,0,0,0,0,0,13.022,0,0,0,0,0,0,0
Fe+Th,0,0,0,20.011,0,0,0,0,0,0,0,7.711,0
Al+Fe,8.899,0,0,49.456,0,0,0,0,0,0,0,0,0
Zr+Th,0,0,0,0,0,40.381,0,0,0,0,0,8.586,0
Zr+Hf,0,0,0,0,0,613.3,0,0,0,14.973,0,0,0
Fe,0,0,0,17.652,0,0,0,0,0,0,0,0,0
Zr+Th,0,0,0,0,0,7.018,0,0,0,0,0,5.328,0
Th,0,0,0,0,0,0,0,0,0,0,0,19.078,0
Fe+Y+Zr+La+Ce+Ho+Hf+Th+U,0,0,0,286.758,39.59,1594.693,13.899,28.995,5.468,43.032,0,288.838,9.517
Fe+Zr+Th,0,0,0,24.933,0,78.391,0,0,0,0,0,20.391,0
Th,0,0,0,0,0,0,0,0,0,0,0,26.648,0
Al+Fe+Zr+Ce+Hf+Th+U,78.959,0,0,94.236,0,540.471,0,6.809,0,13.465,0,43.458,4.158
Y+Zr+Ce+Hf+Th,0,0,0,0,25.364,1842.826,0,12.731,0,30.241,0,22.881,0
Fe+Th,0,0,0,174.595,0,0,0,0,0,0,0,4.718,0
Fe+Zr+Th,0,0,0,98.264,0,23.427,0,0,0,0,0,15.247,0
Fe+Zr,0,0,0,16.951,0,5.009,0,0,0,0,0,0,0
Zr+Hf+U,0,0,0,0,0,1051.401,0,0,0,15.671,0,0,5.036
Fe,0,0,0,23.242,0,0,0,0,0,0,0,0,0
Fe+Zr+Ce+Hf+Th,0,0,0,52.691,0,221.459,0,7.677,0,5.086,0,32.408,0
Zr,0,0,0,0,0,4.849,0,0,0,0,0,0,0
Zr,0,0,0,0,0,15.484,0,0,0,0,0,0,0
Fe+Th,0,0,0,16.778,0,0,0,0,0,0,0,4.427,0
Fe+Zr+Th,0,0,0,25.2,0,56.015,0,0,0,0,0,12.36,0
Zr+Th,0,0,0,0,0,7.472,0,0,0,0,0,10.786,0
Fe+Y+Zr+Ce+Hf+Th+U,0,0,0,109.333,6.805,1015.664,0,15.908,0,12.31,0,37.261,8.487
Zr+Th,0,0,0,0,0,6.135,0,0,0,0,0,5.629,0
Fe+Y+Zr+Hf+Th,0,0,0,108.78,6.745,573.588,0,0,0,12.593,0,34.787,0
Zr+Th,0,0,0,0,0,8.407,0,0,0,0,0,4.18,0
Fe+Y+Zr+Ce+Hf+Th,0,0,0,43.893,9.161,1354.954,0,7.637,0,17.846,0,16.008,0
Fe+Y+Zr+Hf+Th,0,0,0,37.122,7.646,287.548,0,0,0,4.961,0,41.784,0
Zr,0,0,0,0,0,355.956,0,0,0,0,0,0,0
Y+Zr+Hf+Th+U,0,0,0,0,7.689,920.081,0,0,0,8.303,0,5.596,4.844
Fe+Zr+Th,0,0,0,77.529,0,50.893,0,0,0,0,0,5.155,0
Zr,0,0,0,0,0,5.783,0,0,0,0,0,0,0
Zr+Ce+Th,0,0,0,0,0,26.021,0,11.188,0,0,0,37.842,0
Zr,0,0,0,0,0,78.623,0,0,0,0,0,0,0
Fe,0,0,0,18.411,0,0,0,0,0,0,0,0,0
Fe+Zr+La+Hf+Th,0,0,0,42.889,0,263.829,6.952,0,0,7.967,0,33.154,0
Zr+La+Ce+Th,0,0,0,0,0,14.406,11.065,10.903,0,0,0,5.902,0
Zr+Th,0,0,0,0,0,8.932,0,0,0,0,0,35.591,0
Zr+Th,0,0,0,0,0,393.953,0,0,0,0,0,13.933,0
Fe+Zr+Th,0,0,0,161.194,0,55.768,0,0,0,0,0,183.073,0
Fe+Y+Zr+Ce+Hf+Th+U,0,0,0,180.617,20.812,4043.146,0,22.516,0,119.341,0,176.748,8.777
Fe+Zr+Th,0,0,0,84.911,0,20.911,0,0,0,0,0,6.41,0
Fe+Zr+Th,0,0,0,224.985,0,18.965,0,0,0,0,0,16.389,0
Zr,0,0,0,0,0,185.021,0,0,0,0,0,0,0
Fe+Zr+Th,0,0,0,22.089,0,18.077,0,0,0,0,0,4.156,0
Fe+Zr+Th,0,0,0,37.132,0,30.874,0,0,0,0,0,8.195,0
Fe+Zr+Hf+Th,0,0,0,18.941,0,548.262,0,0,0,11.768,0,6.125,0
Fe+Zr+Th,0,0,0,75.665,0,7.189,0,0,0,0,0,18.502,0
Fe+Y+Zr+Hf+Th,0,0,0,21.799,9.21,1463.002,0,0,0,11.862,0,30.735,0
Fe+Zr,0,0,0,20.269,0,16.653,0,0,0,0,0,0,0
Fe+Zr+La+Ce+Hf+Th,0,0,0,59.91,0,1810.896,17.138,46.454,0,55.918,0,13.108,0
Fe,0,0,0,26.712,0,0,0,0,0,0,0,0,0
Fe+Y+Zr+Th,0,0,0,16.942,7.02,293.559,0,0,0,0,0,6.029,0
Fe+Y+Zr+La+Ce+Ho+Hf+Th+U,0,0,0,367.087,158.225,1057.069,17.214,35.335,8.392,21.518,0,55.496,6.908
Fe+Y+Zr+Th,0,0,0,220.048,7.668,65.296,0,0,0,0,0,66.749,0
Fe,0,0,0,95.257,0,0,0,0,0,0,0,0,0
Fe+Zr+Th,0,0,0,94.938,0,329.149,0,0,0,0,0,18.262,0
Fe+Zr+Th,0,0,0,140.875,0,18.223,0,0,0,0,0,16.852,0
Y+Zr+La+Ce+Th,0,0,0,0,14.869,8.277,102.291,106.949,0,0,0,124.606,0
Zr+Th,0,0,0,0,0,122.745,0,0,0,0,0,7.243,0
Fe+Zr+La+Th,0,0,0,22.771,0,15.664,12.224,0,0,0,0,27.597,0
Fe+Zr+Th,0,0,0,23.045,0,54.83,0,0,0,0,0,9.093,0
Fe+Ce,0,0,0,18.911,0,0,0,16.504,0,0,0,0,0
Zr,0,0,0,0,0,12.99,0,0,0,0,0,0,0
Fe+Y+Zr+Th,0,0,0,27.478,12.975,22.79,0,0,0,0,0,15.433,0
Zr,0,0,0,0,0,16.509,0,0,0,0,0,0,0
Zr,0,0,0,0,0,19.275,0,0,0,0,0,0,0
Fe+Zr+Ce+Th,0,0,0,171.25,0,38.537,0,8.656,0,0,0,18.545,0
Zr+Th,0,0,0,0,0,12.836,0,0,0,0,0,8.422,0
Fe+Zr,0,0,0,17.07,0,5.607,0,0,0,0,0,0,0
Zr+Th,0,0,0,0,0,38.804,0,0,0,0,0,6.179,0
Fe+Zr+Th,0,0,0,66.172,0,180.595,0,0,0,0,0,10.984,0
Zr+Hf,0,0,0,0,0,267.85,0,0,0,11.236,0,0,0
Zr+Th,0,0,0,0,0,76.863,0,0,0,0,0,15,0
Fe+Zr+La+Ce+Th,0,0,0,207.751,0,11.942,8.208,30.164,0,0,0,8.889,0
Fe+Y+Zr+Ce+Th,0,0,0,70.709,8.215,159.789,0,7.586,0,0,0,39.119,0
Fe,0,0,0,17.688,0,0,0,0,0,0,0,0,0
Zr,0,0,0,0,0,5.934,0,0,0,0,0,0,0
Zr,0,0,0,0,0,60.21,0,0,0,0,0,0,0
Fe+Zr+Ce+Hf+U,0,0,0,67.883,0,741.57,0,10.289,0,5.28,0,0,73.139
Fe+Y+Zr+Hf+Th,0,0,0,17.941,17.771,144.334,0,0,0,8.551,0,7.254,0
Fe+Zr+Ce+Th,0,0,0,24.078,0,39.209,0,6.073,0,0,0,20.858,0
Fe+Zr+Ce+Th,0,0,0,77.99,0,40.374,0,10.98,0,0,0,69.408,0
Fe+Zr+Hf,0,0,0,22.532,0,879.886,0,0,0,20.547,0,0,0
Fe+Zr+Th,0,0,0,42.582,0,10.98,0,0,0,0,0,11.048,0
Fe+Zr,0,0,0,28.035,0,56.362,0,0,0,0,0,0,0
Zr,0,0,0,0,0,8.044,0,0,0,0,0,0,0
Zr,0,0,0,0,0,10.053,0,0,0,0,0,0,0
Fe+Y+Zr+Ce+Ho+Pb+Th,0,0,0,216.146,87.211,107.782,0,11.564,8.02,0,8.345,615.275,0
Fe+Zr+Th,0,0,0,16.734,0,18.063,0,0,0,0,0,8.542,0
Y+Zr+Hf,0,0,0,0,6.042,315.242,0,0,0,6.578,0,0,0
Fe+Y+Zr+La+Ce+Hf+Th+U,0,0,0,78.448,13.569,1843.471,16.132,49.335,0,14.896,0,57.925,9.098
Fe+Zr+Th,0,0,0,30.886,0,21.258,0,0,0,0,0,17.744,0
Fe,0,0,0,16.401,0,0,0,0,0,0,0,0,0
Fe+Zr+La+Ce+Th,0,0,0,31.688,0,57.342,15.009,19.487,0,0,0,11.143,0
Zr,0,0,0,0,0,26.649,0,0,0,0,0,0,0
Zr+Th,0,0,0,0,0,40.281,0,0,0,0,0,4.153,0
Fe+Zr,0,0,0,17.143,0,15.763,0,0,0,0,0,0,0
Fe+Y+Zr+Ce+Hf+Th+U,0,0,0,36.141,40.235,1180.12,0,16.3,0,30.351,0,299.563,5.572
Fe,0,0,0,30.042,0,0,0,0,0,0,0,0,0
Fe+Zr+Th,0,0,0,28.564,0,16.32,0,0,0,0,0,12.322,0
Zr+Th,0,0,0,0,0,62.404,0,0,0,0,0,4.462,0
Zr+Hf+Th,0,0,0,0,0,447.473,0,0,0,11.042,0,10.504,0
Fe+Zr+Hf+Th,0,0,0,29.453,0,81.046,0,0,0,5.209,0,31.366,0
Zr+Th,0,0,0,0,0,23.192,0,0,0,0,0,7.079,0
Zr,0,0,0,0,0,12.281,0,0,0,0,0,0,0
Zr+Th,0,0,0,0,0,11.214,0,0,0,0,0,4.015,0
Zr+Hf,0,0,0,0,0,557.033,0,0,0,14.68,0,0,0
Fe+Zr+Ce+Hf+Th,0,0,0,43.505,0,878.661,0,7.281,0,16.901,0,26.155,0
Zr,0,0,0,0,0,30.881,0,0,0,0,0,0,0
Fe+Zr+Th,0,0,0,24.061,0,12.059,0,0,0,0,0,9.483,0
Zr+Th,0,0,0,0,0,22.496,0,0,0,0,0,20.709,0
Zr,0,0,0,0,0,13.567,0,0,0,0,0,0,0
Fe+Zr+Hf+Th,0,0,0,17.125,0,474.664,0,0,0,4.754,0,11.942,0
Zr+Th,0,0,0,0,0,43.005,0,0,0,0,0,8.601,0
Zr,0,0,0,0,0,86.731,0,0,0,0,0,0,0
Al+Fe+Y+Zr+La+Ce+Hf+Th,9.198,0,0,66.678,6.196,832.619,6.8,9.205,0,15.154,0,20.304,0
Al+Fe+Zr+Th,18.377,0,0,72.893,0,9.457,0,0,0,0,0,10.257,0
Zr+Th,0,0,0,0,0,8.769,0,0,0,0,0,4.583,0
Y+Zr+Th,0,0,0,0,22.077,106.409,0,0,0,0,0,59.195,0
Fe+Zr+Ce+Th,0,0,0,36.145,0,18.873,0,8.393,0,0,0,7.555,0
Al+Fe+Y+Zr+La+Ce+Hf+Th,12.502,0,0,268.489,14.802,1750.955,10.001,20.12,0,46.461,0,31.416,0
Zr+Th,0,0,0,0,0,15.497,0,0,0,0,0,12.235,0
Zr,0,0,0,0,0,7.163,0,0,0,0,0,0,0
Zr,0,0,0,0,0,17.48,0,0,0,0,0,0,0
Al+Fe+Y+Zr+Hf+Th+U,9.381,0,0,58.513,10.217,2802.071,0,0,0,16.029,0,11.913,10.619
Fe+Zr+Th,0,0,0,36.724,0,49.021,0,0,0,0,0,17.299,0
Zr+Th,0,0,0,0,0,27.906,0,0,0,0,0,9.009,0
Fe+Zr,0,0,0,18.919,0,22.942,0,0,0,0,0,0,0
Fe+Zr+Th,0,0,0,33.022,0,6.68,0,0,0,0,0,4.489,0
Zr+La+Ce+Th,0,0,0,0,0,9.772,16.833,26.164,0,0,0,57.976,0
Fe+Zr,0,0,0,22.462,0,67.817,0,0,0,0,0,0,0
Fe+Zr+Th,0,0,0,39.649,0,11.139,0,0,0,0,0,6.9,0
Th,0,0,0,0,0,0,0,0,0,0,0,6.472,0
Fe+Y+Zr+Hf+Th,0,0,0,132.478,7.551,307.01,0,0,0,6.229,0,34.773,0
Fe+Zr+Ce+Th,0,0,0,19.417,0,51.109,0,9.84,0,0,0,22.629,0
Fe+Zr+La+Ce+Th,0,0,0,78.161,0,97.326,11.383,15.53,0,0,0,27.476,0
Fe+Zr+Ce,0,0,0,28.909,0,44.034,0,6.103,0,0,0,0,0
Zr,0,0,0,0,0,6.026,0,0,0,0,0,0,0
Fe+Zr+Ce+Th,0,0,0,26.81,0,60.852,0,8.24,0,0,0,10.584,0
Fe+Y+Zr+Hf+Th,0,0,0,58.488,6.845,893.149,0,0,0,6.42,0,15.368,0
Fe+Zr+Hf+Th,0,0,0,95.822,0,782.432,0,0,0,25.745,0,16.973,0
Zr+Th,0,0,0,0,0,14.464,0,0,0,0,0,4.209,0
Zr+Hf+Th,0,0,0,0,0,395.878,0,0,0,8.326,0,5.012,0
Fe+Y+Zr+La+Ce+Pb+Th,0,0,0,801.625,9.413,139.648,146.329,276.926,0,0,14.881,97.488,0
Zr,0,0,0,0,0,48.663,0,0,0,0,0,0,0
Fe+Y+Zr+La+Ce+Hf+Th,0,0,0,433.178,13.138,316.173,19.273,33.98,0,8.765,0,54.43,0
Zr,0,0,0,0,0,5.365,0,0,0,0,0,0,0
Zr,0,0,0,0,0,15.669,0,0,0,0,0,0,0
Y+Zr+La+Ce+Pb+Th,0,0,0,0,33.594,30.719,410.485,690.468,0,0,54.817,5936.173,0
Fe+Zr,0,0,0,86.953,0,88.767,0,0,0,0,0,0,0
Zr,0,0,0,0,0,33.957,0,0,0,0,0,0,0
Zr+Th,0,0,0,0,0,20.129,0,0,0,0,0,3.911,0
Zr,0,0,0,0,0,4.938,0,0,0,0,0,0,0
Zr,0,0,0,0,0,11.388,0,0,0,0,0,0,0
Zr,0,0,0,0,0,56.432,0,0,0,0,0,0,0
Fe+Y+Zr+La+Ce+Hf+Th+U,0,0,0,105.744,18.538,13514.395,9.58,13.042,0,303.446,0,37.872,24.36
